Park_and_Ride_Station,Passengers,Radius,Tour_Length
Fish Creek - Lacombe CTrain Station,4,2,8644.315999999999
Fish Creek - Lacombe CTrain Station,4,2,8790.838
Fish Creek - Lacombe CTrain Station,4,2,10323.515
Fish Creek - Lacombe CTrain Station,4,3,9205.104
Fish Creek - Lacombe CTrain Station,4,3,13306.332
Fish Creek - Lacombe CTrain Station,4,3,10276.432999999999
Fish Creek - Lacombe CTrain Station,4,4,16547.451999999997
Fish Creek - Lacombe CTrain Station,4,4,13192.92
Fish Creek - Lacombe CTrain Station,4,4,17672.732000000004
Fish Creek - Lacombe CTrain Station,4,5,17735.847
Fish Creek - Lacombe CTrain Station,4,5,15997.821
Fish Creek - Lacombe CTrain Station,4,5,22219.928
Fish Creek - Lacombe CTrain Station,5,2,14385.953
Fish Creek - Lacombe CTrain Station,5,2,13318.018
Fish Creek - Lacombe CTrain Station,5,2,9958.595
Fish Creek - Lacombe CTrain Station,5,3,16966.331999999995
Fish Creek - Lacombe CTrain Station,5,3,14087.252
Fish Creek - Lacombe CTrain Station,5,3,12067.152000000002
Fish Creek - Lacombe CTrain Station,5,4,20581.396
Fish Creek - Lacombe CTrain Station,5,4,19519.417999999998
Fish Creek - Lacombe CTrain Station,5,4,19673.745999999996
Fish Creek - Lacombe CTrain Station,5,5,27908.662999999993
Fish Creek - Lacombe CTrain Station,5,5,
Fish Creek - Lacombe CTrain Station,5,5,24188.261000000002
Fish Creek - Lacombe CTrain Station,6,2,11253.085
Fish Creek - Lacombe CTrain Station,6,2,7446.893
Fish Creek - Lacombe CTrain Station,6,2,
Fish Creek - Lacombe CTrain Station,6,3,21463.309
Fish Creek - Lacombe CTrain Station,6,3,12028.344
Fish Creek - Lacombe CTrain Station,6,3,15461.467
Fish Creek - Lacombe CTrain Station,6,4,19396.268999999997
Fish Creek - Lacombe CTrain Station,6,4,25544.428999999996
Fish Creek - Lacombe CTrain Station,6,4,22166.049
Fish Creek - Lacombe CTrain Station,6,5,24580.875999999997
Fish Creek - Lacombe CTrain Station,6,5,31061.096999999998
Fish Creek - Lacombe CTrain Station,6,5,28906.960999999996
Fish Creek - Lacombe CTrain Station,7,2,17482.401999999995
Fish Creek - Lacombe CTrain Station,7,2,16721.332
Fish Creek - Lacombe CTrain Station,7,2,14739.967999999997
Fish Creek - Lacombe CTrain Station,7,3,21081.899999999998
Fish Creek - Lacombe CTrain Station,7,3,11045.428999999998
Fish Creek - Lacombe CTrain Station,7,3,18631.047
Fish Creek - Lacombe CTrain Station,7,4,23596.422
Fish Creek - Lacombe CTrain Station,7,4,23668.415999999997
Fish Creek - Lacombe CTrain Station,7,4,15161.017999999998
Fish Creek - Lacombe CTrain Station,7,5,21923.126999999997
Fish Creek - Lacombe CTrain Station,7,5,19548.107999999997
Fish Creek - Lacombe CTrain Station,7,5,27399.883999999995
Fish Creek - Lacombe CTrain Station,8,2,16452.534000000003
Fish Creek - Lacombe CTrain Station,8,2,16220.575
Fish Creek - Lacombe CTrain Station,8,2,18197.877999999997
Fish Creek - Lacombe CTrain Station,8,3,21216.677
Fish Creek - Lacombe CTrain Station,8,3,19681.482
Fish Creek - Lacombe CTrain Station,8,3,18029.881999999998
Fish Creek - Lacombe CTrain Station,8,4,25713.287999999997
Fish Creek - Lacombe CTrain Station,8,4,27395.121
Fish Creek - Lacombe CTrain Station,8,4,32777.122
Fish Creek - Lacombe CTrain Station,8,5,36815.44699999999
Fish Creek - Lacombe CTrain Station,8,5,31845.373
Fish Creek - Lacombe CTrain Station,8,5,23833.993
Fish Creek - Lacombe CTrain Station,9,2,19155.8
Fish Creek - Lacombe CTrain Station,9,2,16539.099
Fish Creek - Lacombe CTrain Station,9,2,12958.500999999997
Fish Creek - Lacombe CTrain Station,9,3,24188.447999999993
Fish Creek - Lacombe CTrain Station,9,3,22600.674
Fish Creek - Lacombe CTrain Station,9,3,33457.793999999994
Fish Creek - Lacombe CTrain Station,9,4,25275.879999999997
Fish Creek - Lacombe CTrain Station,9,4,25050.637
Fish Creek - Lacombe CTrain Station,9,4,36879.799
Fish Creek - Lacombe CTrain Station,9,5,44988.579999999994
Fish Creek - Lacombe CTrain Station,9,5,33049.452999999994
Fish Creek - Lacombe CTrain Station,9,5,27284.569
Somerset-Bridlewood,4,2,12832.744
Somerset-Bridlewood,4,2,11263.880000000001
Somerset-Bridlewood,4,2,8880.649
Somerset-Bridlewood,4,3,16828.933999999994
Somerset-Bridlewood,4,3,8489.132
Somerset-Bridlewood,4,3,16884.429999999997
Somerset-Bridlewood,4,4,13596.971000000001
Somerset-Bridlewood,4,4,11887.313
Somerset-Bridlewood,4,4,20503.383
Somerset-Bridlewood,4,5,30016.216999999997
Somerset-Bridlewood,4,5,32411.729999999996
Somerset-Bridlewood,4,5,
Somerset-Bridlewood,5,2,11790.891
Somerset-Bridlewood,5,2,16697.186
Somerset-Bridlewood,5,2,10991.238000000001
Somerset-Bridlewood,5,3,13309.847999999998
Somerset-Bridlewood,5,3,
Somerset-Bridlewood,5,3,18973.693
Somerset-Bridlewood,5,4,26342.952
Somerset-Bridlewood,5,4,24982.616
Somerset-Bridlewood,5,4,16276.119999999999
Somerset-Bridlewood,5,5,17927.437999999995
Somerset-Bridlewood,5,5,14440.578999999998
Somerset-Bridlewood,5,5,21601.497999999996
Somerset-Bridlewood,6,2,13351.811000000002
Somerset-Bridlewood,6,2,16002.577000000001
Somerset-Bridlewood,6,2,23636.05
Somerset-Bridlewood,6,3,20308.755999999998
Somerset-Bridlewood,6,3,17774.084
Somerset-Bridlewood,6,3,22187.655
Somerset-Bridlewood,6,4,15447.391
Somerset-Bridlewood,6,4,29471.846999999998
Somerset-Bridlewood,6,4,25102.578999999998
Somerset-Bridlewood,6,5,39717.617
Somerset-Bridlewood,6,5,
Somerset-Bridlewood,6,5,31176.312
Somerset-Bridlewood,7,2,8035.51
Somerset-Bridlewood,7,2,22492.165
Somerset-Bridlewood,7,2,16398.046999999995
Somerset-Bridlewood,7,3,19318.001
Somerset-Bridlewood,7,3,12651.240999999998
Somerset-Bridlewood,7,3,14533.747
Somerset-Bridlewood,7,4,
Somerset-Bridlewood,7,4,26885.335999999996
Somerset-Bridlewood,7,4,
Somerset-Bridlewood,7,5,30232.027
Somerset-Bridlewood,7,5,
Somerset-Bridlewood,7,5,27764.120999999996
Somerset-Bridlewood,8,2,12656.714999999997
Somerset-Bridlewood,8,2,21563.737999999998
Somerset-Bridlewood,8,2,13940.836999999998
Somerset-Bridlewood,8,3,24192.513999999996
Somerset-Bridlewood,8,3,27608.626999999997
Somerset-Bridlewood,8,3,24172.947999999993
Somerset-Bridlewood,8,4,25679.072999999997
Somerset-Bridlewood,8,4,25043.146999999994
Somerset-Bridlewood,8,4,28676.156000000003
Somerset-Bridlewood,8,5,26767.659
Somerset-Bridlewood,8,5,35990.091
Somerset-Bridlewood,8,5,32143.831
Somerset-Bridlewood,9,2,29515.915999999997
Somerset-Bridlewood,9,2,17563.851
Somerset-Bridlewood,9,2,19464.077999999998
Somerset-Bridlewood,9,3,24346.953999999998
Somerset-Bridlewood,9,3,28820.905000000006
Somerset-Bridlewood,9,3,27305.558999999997
Somerset-Bridlewood,9,4,28423.774
Somerset-Bridlewood,9,4,39082.005999999994
Somerset-Bridlewood,9,4,21092.876999999997
Somerset-Bridlewood,9,5,39976.422
Somerset-Bridlewood,9,5,39030.80299999999
Somerset-Bridlewood,9,5,44458.38399999999
Somerset-Bridlewood,10,2,21697.617
Somerset-Bridlewood,10,2,21718.017
Somerset-Bridlewood,10,2,22381.968999999997
Somerset-Bridlewood,10,3,34116.323
Somerset-Bridlewood,10,3,25696.357
Somerset-Bridlewood,10,3,25935.176999999996
Somerset-Bridlewood,10,4,28035.106999999996
Somerset-Bridlewood,10,4,23796.837
Somerset-Bridlewood,10,4,25004.147
Somerset-Bridlewood,10,5,42842.01899999999
Somerset-Bridlewood,10,5,
Somerset-Bridlewood,10,5,36303.203
Somerset-Bridlewood,11,2,33083.227
Somerset-Bridlewood,11,2,18579.451999999994
Somerset-Bridlewood,11,2,18664.627
Somerset-Bridlewood,11,3,24584.851
Somerset-Bridlewood,11,3,30088.630999999998
Somerset-Bridlewood,11,3,29550.693
Somerset-Bridlewood,11,4,37948.24999999999
Somerset-Bridlewood,11,4,31336.114999999998
Somerset-Bridlewood,11,4,
Somerset-Bridlewood,11,5,25574.263999999992
Somerset-Bridlewood,11,5,42256.570999999996
Somerset-Bridlewood,11,5,37649.00199999999
Somerset-Bridlewood,12,2,28731.070999999993
Somerset-Bridlewood,12,2,24407.438
Somerset-Bridlewood,12,2,17925.781999999996
Somerset-Bridlewood,12,3,22312.774999999998
Somerset-Bridlewood,12,3,29622.992
Somerset-Bridlewood,12,3,24996.427
Somerset-Bridlewood,12,4,41173.11399999999
Somerset-Bridlewood,12,4,35679.926999999996
Crowfoot - North and South,3,1,10126.274999999998
Crowfoot - North and South,3,1,9034.812999999998
Crowfoot - North and South,3,1,12168.393
Crowfoot - North and South,3,2,13970.19
Crowfoot - North and South,3,2,15684.979000000001
Crowfoot - North and South,3,2,14030.696
Crowfoot - North and South,3,3,23030.182
Crowfoot - North and South,3,3,13978.026999999998
Crowfoot - North and South,3,3,15620.030999999999
Crowfoot - North and South,3,4,23914.527999999995
Crowfoot - North and South,3,4,26993.348999999995
Crowfoot - North and South,3,4,15252.560999999998
Crowfoot - North and South,3,5,22478.652
Crowfoot - North and South,3,5,23248.706000000002
Crowfoot - North and South,3,5,22040.244
Crowfoot - North and South,4,1,11312.615999999998
Crowfoot - North and South,4,1,11274.120999999997
Crowfoot - North and South,4,1,14946.630999999994
Crowfoot - North and South,4,2,16008.571
Crowfoot - North and South,4,2,13319.097000000002
Crowfoot - North and South,4,2,16411.692
Crowfoot - North and South,4,3,25618.417
Crowfoot - North and South,4,3,24063.451999999997
Crowfoot - North and South,4,3,18207.042999999998
Crowfoot - North and South,4,4,24482.028
Crowfoot - North and South,4,4,17434.283000000003
Crowfoot - North and South,4,4,29664.323999999993
Crowfoot - North and South,4,5,19495.247
Crowfoot - North and South,4,5,27158.723
Crowfoot - North and South,4,5,26575.399999999998
Crowfoot - North and South,5,1,11440.017
Crowfoot - North and South,5,1,
Crowfoot - North and South,5,1,11612.892999999998
Crowfoot - North and South,5,2,13801.677999999998
Crowfoot - North and South,5,2,
Crowfoot - North and South,5,2,15673.872999999998
Crowfoot - North and South,5,3,19518.607999999997
Crowfoot - North and South,5,3,20850.554999999997
Crowfoot - North and South,5,3,20970.222
Crowfoot - North and South,5,4,31330.403999999995
Crowfoot - North and South,5,4,
Crowfoot - North and South,5,4,18777.653
Crowfoot - North and South,5,5,26514.142
Crowfoot - North and South,5,5,32793.4
Crowfoot - North and South,5,5,34372.284999999996
Crowfoot - North and South,6,1,16751.719999999998
Crowfoot - North and South,6,1,21042.610999999997
Crowfoot - North and South,6,1,13456.231999999996
Crowfoot - North and South,6,2,20495.273999999998
Crowfoot - North and South,6,2,13355.971999999998
Crowfoot - North and South,6,2,13878.702000000003
Crowfoot - North and South,6,3,26874.176999999996
Crowfoot - North and South,6,3,20965.919
Crowfoot - North and South,6,3,22559.226
Crowfoot - North and South,6,4,27332.579000000005
Crowfoot - North and South,6,4,33481.341
Crowfoot - North and South,6,4,31437.11699999999
Crowfoot - North and South,6,5,27925.774999999994
Crowfoot - North and South,6,5,50882.08099999999
Crowfoot - North and South,6,5,39500.801999999996
Crowfoot - North and South,7,1,13150.586
Crowfoot - North and South,7,1,12780.147999999996
Crowfoot - North and South,7,1,12099.451999999997
Crowfoot - North and South,7,2,22549.676999999996
Crowfoot - North and South,7,2,20202.541
Crowfoot - North and South,7,2,18816.091999999997
Crowfoot - North and South,7,3,27480.878999999997
Crowfoot - North and South,7,3,23906.975000000002
Crowfoot - North and South,7,3,21351.938
Crowfoot - North and South,7,4,30342.17199999999
Crowfoot - North and South,7,4,32614.509
Crowfoot - North and South,7,4,21035.921
Crowfoot - North and South,7,5,42117.676
Crowfoot - North and South,7,5,38043.139
Crowfoot - North and South,7,5,19063.247
Crowfoot - North and South,8,1,19157.332999999995
Crowfoot - North and South,8,1,16299.619999999999
Crowfoot - North and South,8,1,13412.331999999997
Crowfoot - North and South,8,2,16358.928
Crowfoot - North and South,8,2,20329.875
Crowfoot - North and South,8,2,23082.771999999997
Crowfoot - North and South,8,3,23964.237999999998
Crowfoot - North and South,8,3,17714.049999999996
Crowfoot - North and South,8,3,37303.02
Crowfoot - North and South,8,4,35986.20799999999
Crowfoot - North and South,8,4,30444.163
Crowfoot - North and South,8,4,44404.80499999999
Crowfoot - North and South,8,5,46924.44
Crowfoot - North and South,8,5,45981.37699999999
Crowfoot - North and South,8,5,49313.44799999999
Crowfoot - North and South,9,1,16721.293999999998
Crowfoot - North and South,9,1,18236.103
Crowfoot - North and South,9,1,13342.691999999997
Crowfoot - North and South,9,2,20366.235999999997
Crowfoot - North and South,9,2,25542.002
Crowfoot - North and South,9,2,22407.235999999997
Crowfoot - North and South,9,3,23147.761999999995
Crowfoot - North and South,9,3,34959.888
Crowfoot - North and South,9,3,30202.824999999997
Crowfoot - North and South,9,4,38294.07399999999
Crowfoot - North and South,9,4,35547.15699999999
Crowfoot - North and South,9,4,23193.665999999994
Crowfoot - North and South,9,5,51077.191999999995
Crowfoot - North and South,9,5,47297.14799999999
Crowfoot - North and South,9,5,44246.907999999996
Crowfoot - North and South,10,1,17107.052999999996
Crowfoot - North and South,10,1,14132.319
Crowfoot - North and South,10,1,16332.003999999995
Crowfoot - North and South,10,2,19784.118999999995
Crowfoot - North and South,10,2,25373.305999999997
Crowfoot - North and South,10,2,22540.082
Crowfoot - North and South,10,3,31758.583999999995
Crowfoot - North and South,10,3,27131.007999999998
Crowfoot - North and South,10,3,37000.17999999999
Crowfoot - North and South,10,4,42511.85999999999
Crowfoot - North and South,10,4,40806.08799999999
Crowfoot - North and South,10,4,38727.56599999999
Crowfoot - North and South,10,5,39823.148
Crowfoot - North and South,10,5,41345.331999999995
Crowfoot - North and South,10,5,43907.23399999999
Crowfoot - North and South,11,1,18488.592999999997
Crowfoot - North and South,11,1,19333.772999999994
Crowfoot - North and South,11,1,
Crowfoot - North and South,11,2,23330.589999999997
Crowfoot - North and South,11,2,20973.240999999995
Crowfoot - North and South,11,2,23115.756999999998
Crowfoot - North and South,11,3,35101.7
Crowfoot - North and South,11,3,36025.80199999999
Crowfoot - North and South,11,3,27223.010000000002
Crowfoot - North and South,11,4,
Crowfoot - North and South,11,4,36271.581
Crowfoot - North and South,11,4,38123.78799999999
Crowfoot - North and South,11,5,44811.75899999999
Crowfoot - North and South,11,5,48506.158
Crowfoot - North and South,11,5,55521.399
Tuscany Station - Rocky Ridge Terminal,3,1,4440.34
Tuscany Station - Rocky Ridge Terminal,3,1,12677.064999999995
Tuscany Station - Rocky Ridge Terminal,3,1,12177.631999999998
Tuscany Station - Rocky Ridge Terminal,3,2,12982.140999999996
Tuscany Station - Rocky Ridge Terminal,3,2,5685.396000000001
Tuscany Station - Rocky Ridge Terminal,3,2,12214.491
Tuscany Station - Rocky Ridge Terminal,3,3,13464.219999999998
Tuscany Station - Rocky Ridge Terminal,3,3,14621.145999999997
Tuscany Station - Rocky Ridge Terminal,3,3,13837.232
Tuscany Station - Rocky Ridge Terminal,3,4,23841.123000000003
Tuscany Station - Rocky Ridge Terminal,3,4,15644.228999999996
Tuscany Station - Rocky Ridge Terminal,3,4,17027.946999999996
Tuscany Station - Rocky Ridge Terminal,3,5,37289.50800000001
Tuscany Station - Rocky Ridge Terminal,3,5,17635.215000000004
Tuscany Station - Rocky Ridge Terminal,3,5,27891.93500000001
Tuscany Station - Rocky Ridge Terminal,4,1,1909.5439999999999
Tuscany Station - Rocky Ridge Terminal,4,1,12762.235999999995
Tuscany Station - Rocky Ridge Terminal,4,1,2209.268
Tuscany Station - Rocky Ridge Terminal,4,2,14134.448000000002
Tuscany Station - Rocky Ridge Terminal,4,2,20875.055
Tuscany Station - Rocky Ridge Terminal,4,2,17949.578999999998
Tuscany Station - Rocky Ridge Terminal,4,3,14159.165000000005
Tuscany Station - Rocky Ridge Terminal,4,3,21434.820999999996
Tuscany Station - Rocky Ridge Terminal,4,3,17788.591
Tuscany Station - Rocky Ridge Terminal,4,4,23870.291
Tuscany Station - Rocky Ridge Terminal,4,4,38333.09
Tuscany Station - Rocky Ridge Terminal,4,4,28480.212999999996
Tuscany Station - Rocky Ridge Terminal,4,5,16926.733
Tuscany Station - Rocky Ridge Terminal,4,5,29021.981999999996
Tuscany Station - Rocky Ridge Terminal,4,5,19640.957000000002
Tuscany Station - Rocky Ridge Terminal,5,1,17992.694
Tuscany Station - Rocky Ridge Terminal,5,1,14087.719999999994
Tuscany Station - Rocky Ridge Terminal,5,1,12732.401
Tuscany Station - Rocky Ridge Terminal,5,2,13327.057
Tuscany Station - Rocky Ridge Terminal,5,2,20946.341
Tuscany Station - Rocky Ridge Terminal,5,2,13027.772
Tuscany Station - Rocky Ridge Terminal,5,3,22585.805999999997
Tuscany Station - Rocky Ridge Terminal,5,3,23096.214999999997
Tuscany Station - Rocky Ridge Terminal,5,3,25773.085
Tuscany Station - Rocky Ridge Terminal,5,4,16732.7
Tuscany Station - Rocky Ridge Terminal,5,4,29158.908000000003
Tuscany Station - Rocky Ridge Terminal,5,4,23390.301
Tuscany Station - Rocky Ridge Terminal,5,5,32269.59
Tuscany Station - Rocky Ridge Terminal,5,5,31396.909999999993
Tuscany Station - Rocky Ridge Terminal,5,5,27692.248999999993
Tuscany Station - Rocky Ridge Terminal,6,1,17262.71
Tuscany Station - Rocky Ridge Terminal,6,1,20053.082
Tuscany Station - Rocky Ridge Terminal,6,1,20915.238999999994
Tuscany Station - Rocky Ridge Terminal,6,2,23490.548
Tuscany Station - Rocky Ridge Terminal,6,2,24557.684
Tuscany Station - Rocky Ridge Terminal,6,2,25370.725999999995
Tuscany Station - Rocky Ridge Terminal,6,3,22060.843999999994
Tuscany Station - Rocky Ridge Terminal,6,3,24852.037999999997
Tuscany Station - Rocky Ridge Terminal,6,3,17826.716999999997
Tuscany Station - Rocky Ridge Terminal,6,4,24994.809999999998
Tuscany Station - Rocky Ridge Terminal,6,4,27331.307999999997
Tuscany Station - Rocky Ridge Terminal,6,4,26368.928
Tuscany Station - Rocky Ridge Terminal,6,5,41297.695999999996
Tuscany Station - Rocky Ridge Terminal,6,5,38212.906
Tuscany Station - Rocky Ridge Terminal,6,5,24752.28
Tuscany Station - Rocky Ridge Terminal,7,1,14357.808999999997
Tuscany Station - Rocky Ridge Terminal,7,1,17224.844999999994
Tuscany Station - Rocky Ridge Terminal,7,1,17418.013999999996
Tuscany Station - Rocky Ridge Terminal,7,2,29143.477
Tuscany Station - Rocky Ridge Terminal,7,2,23145.372000000003
Tuscany Station - Rocky Ridge Terminal,7,2,20150.74
Tuscany Station - Rocky Ridge Terminal,7,3,18486.18499999999
Tuscany Station - Rocky Ridge Terminal,7,3,27202.679
Tuscany Station - Rocky Ridge Terminal,7,3,25922.486999999997
Tuscany Station - Rocky Ridge Terminal,7,4,36835.496
Tuscany Station - Rocky Ridge Terminal,7,4,29804.845999999998
Tuscany Station - Rocky Ridge Terminal,7,4,22321.610999999997
Tuscany Station - Rocky Ridge Terminal,7,5,38351.975
Tuscany Station - Rocky Ridge Terminal,7,5,33793.6
Tuscany Station - Rocky Ridge Terminal,7,5,33066.844
Tuscany Station - Rocky Ridge Terminal,8,1,14109.470999999998
Tuscany Station - Rocky Ridge Terminal,8,1,18819.710999999996
Tuscany Station - Rocky Ridge Terminal,8,1,20944.711999999996
Tuscany Station - Rocky Ridge Terminal,8,2,20673.814999999995
Tuscany Station - Rocky Ridge Terminal,8,2,31304.272
Tuscany Station - Rocky Ridge Terminal,8,2,20801.572
Tuscany Station - Rocky Ridge Terminal,8,3,30284.797
Tuscany Station - Rocky Ridge Terminal,8,3,25511.777000000002
Tuscany Station - Rocky Ridge Terminal,8,3,27758.154000000002
Tuscany Station - Rocky Ridge Terminal,8,4,24609.291999999998
Tuscany Station - Rocky Ridge Terminal,8,4,25784.305999999997
Tuscany Station - Rocky Ridge Terminal,8,4,37838.723
Tuscany Station - Rocky Ridge Terminal,8,5,49084.30299999999
Tuscany Station - Rocky Ridge Terminal,8,5,37816.75399999999
Tuscany Station - Rocky Ridge Terminal,8,5,39810.772
Tuscany Station - Rocky Ridge Terminal,9,1,24561.078999999998
Tuscany Station - Rocky Ridge Terminal,9,1,22606.39
Tuscany Station - Rocky Ridge Terminal,9,1,19516.096999999994
Tuscany Station - Rocky Ridge Terminal,9,2,27571.543999999998
Tuscany Station - Rocky Ridge Terminal,9,2,29191.339999999997
Tuscany Station - Rocky Ridge Terminal,9,2,25671.867999999995
Tuscany Station - Rocky Ridge Terminal,9,3,25680.37
Tuscany Station - Rocky Ridge Terminal,9,3,29843.636999999995
Tuscany Station - Rocky Ridge Terminal,9,3,25594.563
Tuscany Station - Rocky Ridge Terminal,9,4,40608.695
Tuscany Station - Rocky Ridge Terminal,9,4,40750.49599999999
Tuscany Station - Rocky Ridge Terminal,9,4,27621.392999999996
Tuscany Station - Rocky Ridge Terminal,9,5,35681.746
Tuscany Station - Rocky Ridge Terminal,9,5,40172.00199999999
Tuscany Station - Rocky Ridge Terminal,9,5,39952.414999999986
Tuscany Station - Rocky Ridge Terminal,10,1,22120.115999999995
Tuscany Station - Rocky Ridge Terminal,10,1,23895.646999999994
Tuscany Station - Rocky Ridge Terminal,10,1,28833.864999999994
Tuscany Station - Rocky Ridge Terminal,10,2,27732.194999999996
Tuscany Station - Rocky Ridge Terminal,10,2,26648.097999999998
Tuscany Station - Rocky Ridge Terminal,10,2,28567.520999999997
Tuscany Station - Rocky Ridge Terminal,10,3,23012.722999999994
Tuscany Station - Rocky Ridge Terminal,10,3,33419.13799999999
Tuscany Station - Rocky Ridge Terminal,10,3,35230.09399999999
Tuscany Station - Rocky Ridge Terminal,10,4,25734.194999999996
Tuscany Station - Rocky Ridge Terminal,10,4,37928.829
Tuscany Station - Rocky Ridge Terminal,10,4,39887.48599999999
Tuscany Station - Rocky Ridge Terminal,10,5,32542.902000000002
Tuscany Station - Rocky Ridge Terminal,10,5,41947.82699999999
Tuscany Station - Rocky Ridge Terminal,10,5,36203.43799999999
Tuscany Station - Rocky Ridge Terminal,11,1,19949.004999999994
Tuscany Station - Rocky Ridge Terminal,11,1,23279.132999999994
Tuscany Station - Rocky Ridge Terminal,11,1,28108.868999999995
Tuscany Station - Rocky Ridge Terminal,11,2,22966.137999999995
Tuscany Station - Rocky Ridge Terminal,11,2,24650.481999999993
Tuscany Station - Rocky Ridge Terminal,11,2,23594.1
Tuscany Station - Rocky Ridge Terminal,11,3,34883.751
Tuscany Station - Rocky Ridge Terminal,11,3,33634.69699999999
Tuscany Station - Rocky Ridge Terminal,11,3,35541.71799999999
Tuscany Station - Rocky Ridge Terminal,11,4,42764.897999999994
Tuscany Station - Rocky Ridge Terminal,11,4,36878.640999999996
Tuscany Station - Rocky Ridge Terminal,11,4,38977.022999999994
Tuscany Station - Rocky Ridge Terminal,11,5,38146.152
Tuscany Station - Rocky Ridge Terminal,11,5,42879.878
Tuscany Station - Rocky Ridge Terminal,11,5,38477.712999999996
